date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:48	1569/1569	---M--	200	added ('OK')	image/png	etag:%22240cc6-621-5302ebcc8b50c%22	https://www.fcibank.com.pk/catalog/view/theme/default/image/twitter_icon.png	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/image/twitter_icon.png	(from https://www.fcibank.com.pk/)
14:20:49	1603/1603	---M--	200	added ('OK')	image/png	etag:%22240cd9-643-5302ebcd3c8ff%22	https://www.fcibank.com.pk/catalog/view/theme/default/image/twitter_icon2.png	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/image/twitter_icon2.png	(from https://www.fcibank.com.pk/)
14:20:51	1523/1523	---M--	200	added ('OK')	image/png	etag:%22240cd0-5f3-5302ebc05497c%22	https://www.fcibank.com.pk/catalog/view/theme/default/image/facebook_icon.png	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/image/facebook_icon.png	(from https://www.fcibank.com.pk/)
14:20:52	1573/1573	---M--	200	added ('OK')	image/png	etag:%22240cc7-625-5302ebc5ebfed%22	https://www.fcibank.com.pk/catalog/view/theme/default/image/linked_in.png	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/image/linked_in.png	(from https://www.fcibank.com.pk/)
14:20:54	51182/51182	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22240d0f-c7ee-5302ebda1fe4a%22	https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/Pare_Normal.eot	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/stylesheet/Pare_Normal.eot	(from https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/style.css)
14:20:56	724/724	---MC-	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202022%2008:49:40%20GMT	https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/Pare_Normal.ttf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/stylesheet/Pare_Normal.html	(from https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/style.css)
14:20:57	50980/50980	---M--	200	added ('OK')	font/ttf	etag:%22240d12-c724-5302ebd9be3c8%22	https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/Pare%20Normal.ttf	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/stylesheet/Pare%20Normal.ttf	(from https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/style.css)
14:20:58	1168/1168	---M--	200	added ('OK')	image/png	etag:%22240cd2-490-5302ebc26eecd%22	https://www.fcibank.com.pk/catalog/view/theme/default/image/header_pix.png	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/image/header_pix.png	(from https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/style.css)
14:21:00	1138/1138	---M--	200	added ('OK')	image/png	etag:%22240cc8-472-5302ebc351fa1%22	https://www.fcibank.com.pk/catalog/view/theme/default/image/header_pix_inner.png	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/image/header_pix_inner.png	(from https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/style.css)
14:21:01	726/726	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2008:49:46%20GMT	https://www.fcibank.com.pk/catalog/view/theme/default/images/shadow.png	C:/My%20Web%20Sites/fcibank/www.fcibank.com.pk/catalog/view/theme/default/images/shadow.44.delayed	(from https://www.fcibank.com.pk/catalog/view/theme/default/stylesheet/style.css)
